time,Despicable Me Minion Mayhem,ET Adventure,Fast & Furious - Supercharged,Harry Potter and the Escape from Gringotts,Hogwarts Express,Hollywood Rip Ride Rockit,MEN IN BLACK Alien Attack,Race Through New York Starring Jimmy Fallon,Revenge of the Mummy,TRANSFORMERS - The Ride 3D,The Simpsons Ride
17:35:00,49.02173913,29.59770115,32.18390805,78.44086022,47.44565217,64.61538462,38.08988764,22.84946237,42.19298246,44.05555556,34.56521739
17:40:00,49.28571429,29.82954545,31.02272727,77.68817204,47.60869565,66.30769231,37.30337079,23.11827957,41.46551724,43.24175824,32.93478261
17:45:00,48.16666667,29.77272727,30.63218391,77.09677419,46.90217391,67.07692308,37.10227273,22.41935484,41.55172414,42.1978022,32.66304348
17:50:00,49.3258427,30.11627907,30.56179775,75.64516129,45.65217391,66.61764706,37.01149425,21.72043011,41.03448276,41.7032967,31.57608696
17:55:00,49.43181818,30.58823529,29.43181818,74.17582418,44.83516484,65.73529412,36.76470588,20.76086957,40.17241379,41.44444444,31.42857143
18:00:00,48.11111111,30.45977011,29.26136364,73.04347826,43.47826087,64.55223881,35.95505618,20.2688172,40.25862069,41.27777778,31.30434783
18:05:00,48.31460674,30,29.26136364,70.82417582,43.18681319,63.26086957,35.63218391,19.23913043,38.33333333,41.29213483,29.67032967
18:10:00,46.46067416,29.65909091,28.48314607,70.27472527,42.30769231,63.69230769,35.58139535,19.23913043,37.75,39.94318182,28.18681319
18:15:00,46.11111111,29.54545455,28.88888889,69.7826087,42.17391304,63.38235294,34.94186047,17.90322581,36.29310345,40.33333333,27.55434783
18:20:00,46.27777778,27.97752809,28.44444444,69.23913043,41.30434783,62.38461538,34.24418605,17.25806452,35.86206897,40.4494382,27.88043478
18:25:00,45.38888889,26.98863636,27.86516854,67.8021978,40.21978022,61.9047619,33.46590909,17.17391304,35.96491228,39.54545455,27.1978022
18:30:00,45.21978022,26.0989011,27.35955056,66.4673913,39.51612903,60.22727273,32.94444444,16.54255319,35.68965517,39.12087912,27.47311828
18:35:00,44.44444444,25.83333333,26.93181818,64.77777778,38.9673913,59.921875,32.73255814,15.75268817,36.2962963,38.76404494,26.52173913
18:40:00,45.05555556,25.44444444,25.73863636,63.88888889,38.69565217,56.96721311,32.5,16.23655914,35.625,38.93258427,26.14130435
18:45:00,44.94505495,24.94444444,25.33333333,63.2967033,37.96703297,60.40322581,30.94117647,16.61290323,36.42857143,37.94117647,25.76086957
